time,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,total_delay_s,queue_delay_s,encryption_delay_s,packet_loss,utilization_rho
17,Improved_SAN_FC,No Encryption,233.62478339005617,233.62478339005617,233.62478339005617,0.1324622629626975,0.1322622629626975,0.0,0.0,0.999
18,Improved_SAN_FC,No Encryption,329.28767617366816,329.28767617366816,329.28767617366816,0.1972941804149265,0.1970941804149265,0.0,0.0,0.999
19,Improved_SAN_FC,No Encryption,219.9564393208809,219.9564393208809,219.9564393208809,0.1237680093339757,0.1235680093339757,0.0,0.0,0.999
20,Improved_SAN_FC,No Encryption,206.16552246157949,206.16552246157949,206.16552246157949,0.1151300702172304,0.1149300702172304,0.0,0.0,0.999
21,Improved_SAN_FC,No Encryption,291.7780390615702,291.7780390615702,291.7780390615702,0.171008036504389,0.170808036504389,0.0,0.0,0.999
22,Improved_SAN_FC,No Encryption,213.34831761167067,213.34831761167067,213.34831761167067,0.1196123732760683,0.1194123732760683,0.0,0.0,0.999
23,Improved_SAN_FC,No Encryption,315.6636914042782,315.6636914042782,315.6636914042782,0.1876113202887942,0.1874113202887942,0.0,0.0,0.999
24,Improved_SAN_FC,No Encryption,243.29669986945495,243.29669986945495,243.29669986945495,0.1386961819399866,0.1384961819399866,0.0,0.0,0.999
25,Improved_SAN_FC,No Encryption,260.433640961468,260.433640961468,260.433640961468,0.1499118173206172,0.1497118173206172,0.0,0.0,0.999
26,Improved_SAN_FC,No Encryption,221.34764283999908,221.34764283999908,221.34764283999908,0.1246468273684622,0.1244468273684622,0.0,0.0,0.999
27,Improved_SAN_FC,No Encryption,269.8603960987988,269.8603960987988,269.8603960987988,0.1561760816354384,0.1559760816354384,0.0,0.0,0.999
28,Improved_SAN_FC,No Encryption,255.6568510920343,255.6568510920343,255.6568510920343,0.1467633933621871,0.1465633933621871,0.0,0.0,0.999
29,Improved_SAN_FC,No Encryption,269.9524484340691,269.9524484340691,269.9524484340691,0.1562375887875018,0.1560375887875018,0.0,0.0,0.999
30,Improved_SAN_FC,No Encryption,433.60463669759565,433.60463669759565,433.60463669759565,0.2770168540689717,0.2768168540689717,0.0,0.0,0.999
31,Improved_SAN_FC,No Encryption,537.4461117952612,537.4461117952612,537.4461117952612,0.3676709808162813,0.3674709808162813,0.0,0.0,0.999
32,Improved_SAN_FC,No Encryption,548.5919245864447,548.5919245864447,548.5919245864447,0.3781722146234665,0.3779722146234665,0.0,0.0,0.999
33,Improved_SAN_FC,No Encryption,565.5850398736403,565.5850398736403,565.5850398736403,0.3944966683949092,0.3942966683949093,0.0,0.0,0.999
34,Improved_SAN_FC,No Encryption,502.7924726522333,502.7924726522333,502.7924726522333,0.3360201608449742,0.3358201608449743,0.0,0.0,0.999
35,Improved_SAN_FC,No Encryption,516.3658988463003,516.3658988463003,516.3658988463003,0.3482412713921614,0.3480412713921614,0.0,0.0,0.999
36,Improved_SAN_FC,No Encryption,570.1806157173633,570.1806157173633,570.1806157173633,0.3989780708424455,0.3987780708424455,0.0,0.0,0.999
37,Improved_SAN_FC,No Encryption,594.3472322696525,594.3472322696525,594.3472322696525,0.4230264945042733,0.4228264945042733,0.0,0.0,0.999
38,Improved_SAN_FC,No Encryption,543.4259003786801,543.4259003786801,543.4259003786801,0.3732849673353109,0.3730849673353109,0.0,0.0,0.999
39,Improved_SAN_FC,No Encryption,529.0785817678241,529.0785817678241,529.0785817678241,0.3598919422138105,0.3596919422138105,0.0,0.0,0.999
40,Improved_SAN_FC,No Encryption,430.8472277378232,430.8472277378232,430.8472277378232,0.2747731552426792,0.2745731552426793,0.0,0.0,0.999
41,Improved_SAN_FC,No Encryption,425.1827479950646,425.1827479950646,425.1827479950646,0.2701886272224633,0.2699886272224633,0.0,0.0,0.999
42,Improved_SAN_FC,No Encryption,555.8924882400228,555.8924882400228,555.8924882400228,0.3851384368637068,0.3849384368637068,0.0,0.0,0.999
43,Improved_SAN_FC,No Encryption,551.6972246991576,551.6972246991576,551.6972246991576,0.3811267192659757,0.3809267192659757,0.0,0.0,0.999
44,Improved_SAN_FC,No Encryption,466.3538275523042,466.3538275523042,466.3538275523042,0.3042817601415876,0.3040817601415876,0.0,0.0,0.999
45,Improved_SAN_FC,No Encryption,298.34848560205194,298.34848560205194,298.34848560205194,0.1755287809387981,0.1753287809387981,0.0,0.0,0.999
46,Improved_SAN_FC,No Encryption,210.26661052478028,210.26661052478028,210.26661052478028,0.1176848788994398,0.1174848788994398,0.0,0.0,0.999
47,Improved_SAN_FC,No Encryption,322.9091028372201,322.9091028372201,322.9091028372201,0.1927412053595317,0.1925412053595317,0.0,0.0,0.999
48,Improved_SAN_FC,No Encryption,444.49189627476306,444.49189627476306,444.49189627476306,0.2859535073010957,0.2857535073010957,0.0,0.0,0.999
49,Improved_SAN_FC,No Encryption,159.67000143353346,159.67000143353346,159.67000143353346,0.0869616142528292,0.0867616142528291,0.0,0.0,0.999
50,Improved_SAN_FC,No Encryption,584.6592943589061,584.6592943589061,584.6592943589061,0.4132873167348622,0.4130873167348622,0.0,0.0,0.999
51,Improved_SAN_FC,No Encryption,110.70044484916072,110.70044484916072,110.70044484916072,0.0587933789839497,0.0585933789839497,0.0,0.0,0.999
52,Improved_SAN_FC,No Encryption,627.1944365533284,627.1944365533284,627.1944365533284,0.4570705527231734,0.4568705527231734,0.0,0.0,0.999
53,Improved_SAN_FC,No Encryption,597.86447392094,597.86447392094,597.86447392094,0.4265956392238428,0.4263956392238429,0.0,0.0,0.999
54,Improved_SAN_FC,No Encryption,548.3463711308307,548.3463711308307,548.3463711308307,0.3779391246960127,0.3777391246960127,0.0,0.0,0.999
55,Improved_SAN_FC,No Encryption,106.23825204532416,106.23825204532416,106.23825204532416,0.0562990590078529,0.0560990590078529,0.0,0.0,0.999
56,Improved_SAN_FC,No Encryption,296.38691894393827,296.38691894393827,296.38691894393827,0.1741754890589413,0.1739754890589413,0.0,0.0,0.999
57,Improved_SAN_FC,No Encryption,558.7867385881489,558.7867385881489,558.7867385881489,0.3879196758797142,0.3877196758797143,0.0,0.0,0.999
58,Improved_SAN_FC,No Encryption,187.43437816478408,187.43437816478408,187.43437816478408,0.103608326797574,0.103408326797574,0.0,0.0,0.999
59,Improved_SAN_FC,No Encryption,439.34529046651295,439.34529046651295,439.34529046651295,0.2817134493124636,0.2815134493124636,0.0,0.0,0.999
0,Improved_SAN_FC,AES-256,139.4583529256479,139.4583529256479,138.76106116101963,0.0751557813687977,0.0749557813687977,0.0697291764628239,0.0,0.999
1,Improved_SAN_FC,AES-256,148.35823608324074,148.35823608324074,147.61644490282453,0.0803225371852815,0.0801225371852814,0.0741791180416203,0.0,0.999
2,Improved_SAN_FC,AES-256,72.605871876297,72.605871876297,72.24284251691552,0.0378704851472065,0.0376704851472065,0.0363029359381485,0.0,0.999
3,Improved_SAN_FC,AES-256,71.20503383465311,71.20503383465311,70.84900866547984,0.0371168496826888,0.0369168496826888,0.0356025169173265,0.0,0.999
4,Improved_SAN_FC,AES-256,147.63149055087288,147.63149055087288,146.89333309811852,0.0798987693311504,0.0796987693311504,0.0738157452754364,0.0,0.999
5,Improved_SAN_FC,AES-256,90.50578655652356,90.50578655652356,90.05325762374095,0.0475977799562484,0.0473977799562484,0.0452528932782617,0.0,0.999
6,Improved_SAN_FC,AES-256,131.6811574071195,131.6811574071195,131.0227516200839,0.0706810947709388,0.0704810947709388,0.0658405787035597,0.0,0.999
7,Improved_SAN_FC,AES-256,94.62706399804978,94.62706399804978,94.15392867805951,0.0498632770467528,0.0496632770467528,0.0473135319990248,0.0,0.999
8,Improved_SAN_FC,AES-256,132.6304387693118,132.6304387693118,131.96728657546524,0.0712252761547113,0.0710252761547113,0.0663152193846559,0.0,0.999
9,Improved_SAN_FC,AES-256,63.83656649061625,63.83656649061625,63.51738365816317,0.0331706497838922,0.0329706497838922,0.0319182832453081,0.0,0.999
10,Improved_SAN_FC,AES-256,115.15097661428037,115.15097661428037,114.57522173120896,0.0612929444138909,0.0610929444138909,0.0575754883071401,0.0,0.999
